Trial Number,Composite R2,R2_MEP,R2_ThermalEfficiency,kernel_std_1,n_bins_1,kernel_std_2,n_bins_2,learning_rate,batch_size,num_epochs,dropout,num_transformer_layers,d_model,nhead,category_embedding_dim,ST_shared_layer_sizes,ST_task1_layer_sizes,ST_task2_layer_sizes,ET_shared_layer_sizes,ET_task1_layer_sizes,ET_task2_layer_sizes,NA_shared_layer_sizes,NA_task1_layer_sizes,NA_task2_layer_sizes,physics_loss_weight,efficiency_loss_weight
0,0.9424676305055617,0.9916661739349365,0.9159761071205139,1.830928871349963,16,0.876222016622667,16,0.0003451633702454664,32,150,0.17296784621102518,2,64,8,12,"[64, 32]","[32, 16]","[64, 32]","[128, 64]","[128, 64]","[32, 16]","[256, 128]","[128, 64]","[32, 16]",3.0419459626730667,5.961136887081609
1,0.9491672396659852,0.9916016936302186,0.9263179183006287,1.1088243096754717,22,1.2992587061318495,20,0.0005895310611488754,64,170,0.0695899872179974,2,32,4,12,"[64, 32]","[128, 64]","[32, 16]","[64, 32]","[64, 32]","[128, 64]","[64, 32]","[128, 64]","[64, 32]",3.463762386869234,5.51374133004433
2,0.9239969277381896,0.9870833635330201,0.8900273084640503,1.0958948581106036,14,1.338062719307811,14,0.00010407417158157571,128,180,0.07912347643335621,4,32,8,16,"[256, 128]","[64, 32]","[64, 32]","[128, 64]","[64, 32]","[64, 32]","[256, 128]","[64, 32]","[32, 16]",4.480011754258071,5.149778179256038
3,0.9294326460361482,0.9848329782485962,0.8996016979217529,1.02629447611778,14,0.8370395462362361,12,4.4150157651243164e-05,32,170,0.19662469879406075,2,32,8,8,"[256, 128]","[128, 64]","[64, 32]","[256, 128]","[64, 32]","[64, 32]","[64, 32]","[128, 64]","[128, 64]",2.510782802334082,5.943642312268802
4,0.9363127487897873,0.9899162650108337,0.9074493169784545,1.3967537719965213,18,1.3765068228209596,16,3.609842370715754e-05,32,150,0.16973110550689202,2,128,4,8,"[64, 32]","[32, 16]","[128, 64]","[64, 32]","[128, 64]","[64, 32]","[256, 128]","[128, 64]","[64, 32]",4.353923323672809,5.403450323214457
5,0.8989153504371643,0.9814093112945557,0.8544955253601074,1.4202398279795108,20,0.83506688068486,10,3.949913870791955e-05,128,150,0.1987057819721325,3,128,8,12,"[128, 64]","[64, 32]","[64, 32]","[128, 64]","[128, 64]","[32, 16]","[256, 128]","[32, 16]","[64, 32]",3.594148633682034,7.59555549360892
6,0.9381462985277176,0.9884357213973999,0.9110673785209655,1.1755928494264625,14,1.0754973017176044,12,3.680692418191076e-05,32,170,0.18622203274921423,3,128,4,16,"[64, 32]","[32, 16]","[32, 16]","[256, 128]","[32, 16]","[32, 16]","[256, 128]","[128, 64]","[128, 64]",5.135964329753429,7.571284365660416
7,0.9419199138879777,0.9910609006881714,0.9154593825340271,1.4153801135723274,14,1.3905996503596576,14,0.00010540956338331826,32,190,0.14044043894226776,3,32,8,12,"[64, 32]","[64, 32]","[32, 16]","[256, 128]","[64, 32]","[32, 16]","[128, 64]","[32, 16]","[128, 64]",5.974077396446269,6.011641408827542
8,0.9087453418970108,0.9847120881080628,0.8678401708602905,1.7871673422947252,14,0.9676251363430175,18,4.8620962836315206e-05,128,160,0.08846903472220594,3,128,8,12,"[64, 32]","[32, 16]","[64, 32]","[256, 128]","[32, 16]","[32, 16]","[64, 32]","[32, 16]","[64, 32]",2.519331507241919,5.358843507490681
9,0.9363305187225343,0.9907931923866272,0.907004463672638,1.1001969993062262,18,1.4684327497948233,18,0.0001417448877884753,64,150,0.14248414542841553,2,64,8,16,"[64, 32]","[64, 32]","[32, 16]","[64, 32]","[64, 32]","[32, 16]","[128, 64]","[32, 16]","[128, 64]",3.6463484279370704,7.448076784563218
