MassOfFuel,rho,CN,LHV,O2,YSI,MEP,Efficiency,diffEfficiency
49.375,842.059268,48.95921911,40.48705232,14.08324578,17.04668029,6.9992623,0.397266751,0.01782286
49.78515625,785.1230512,49.14416203,39.33842598,14.55195473,13.05878051,6.996852731,0.396489137,0.009316673
48.96484375,780.0271637,47.40885191,40.93008662,13.09387099,20.47432997,6.998939743,0.396011049,0.017547709
48.828125,821.6924722,43.73042523,40.74412844,11.51638462,16.9866571,7.00107428,0.395897085,0.014525609
49.6484375,799.8193201,45.30172767,39.11449924,15.23504407,19.25868754,7.00075779,0.395872896,0.005193699
49.78515625,780.8116757,44.59792367,39.0611087,13.63129983,14.15414299,7.001729505,0.395553382,0.005360363
48.28125,844.6563545,43.47862842,42.52142399,16.78420318,14.37345874,7.009515861,0.392316511,0.022300686
47.734375,834.7372225,41.76420477,43.27936273,17.01694881,23.97463156,6.994813242,0.391137041,0.024207551
49.375,782.7612695,41.91770958,40.93656949,14.69126237,41.13048842,6.993318763,0.390973579,0.016014951
49.78515625,757.7029312,51.22831384,41.63304681,16.17061074,11.19446842,7.004724529,0.390296359,0.024051466
48.5546875,769.9804297,41.58506272,42.2749062,16.22718188,21.87037916,7.000221881,0.389591182,0.020004257
50.7421875,846.2302157,47.42131461,40.85743566,11.5564352,35.38188865,7.006380792,0.389587618,0.023342319
51.8359375,762.0844074,54.53933393,39.10834484,16.00390141,24.91252712,6.999917525,0.389379115,0.015172803
52.109375,788.8280616,54.18389907,38.79514825,13.22142216,41.40937212,6.999813882,0.388582048,0.013339716
51.5625,777.300233,54.77594745,39.97415165,19.03803197,23.40899603,7.003808428,0.386414832,0.018167491
50.46875,797.7189443,41.30605597,40.15359316,19.73488243,24.70575944,6.994416872,0.38530673,0.011262354
51.8359375,831.3681124,47.83199958,39.58316626,18.59873208,45.03427622,7.005792303,0.385067419,0.015039619
52.65625,814.4459536,45.9021176,38.22006926,19.920505,29.48833296,7.008272147,0.384495813,0.007107754
53.4765625,829.8200479,47.77357851,38.12765714,10.87706068,33.75173254,7.007074946,0.381512307,0.009076222
49.375,796.2981287,51.32831181,44.68215956,14.76003129,40.63641442,6.993167091,0.38140155,0.03788218
53.4765625,816.8578703,51.35749232,38.38194725,15.14226686,61.12202285,6.997533234,0.37972505,0.010260257
51.8359375,778.6812755,51.55323642,38.01368444,0.102597406,14.94288941,7.000642013,0.379721561,0.005300431
53.203125,759.3746489,42.52247625,38.33172417,17.41647957,32.419973,7.007882855,0.378860001,0.006459767
53.4765625,769.8855737,52.73955114,39.76276423,8.951043182,36.05885215,6.99635019,0.376728813,0.020154484
52.9296875,787.4166578,45.31001733,39.61030549,15.57779554,70.01584155,7.006270577,0.375873694,0.013715775
52.109375,811.1542027,48.63500006,41.87212843,13.30688771,83.17797647,7.000687515,0.374478771,0.026767805
52.109375,836.5204518,42.56836444,41.68954788,14.63133622,48.68800977,6.993775297,0.37413074,0.025241785
54.84375,759.185584,53.53294358,39.03655253,9.976596033,39.60118634,7.003436325,0.373847865,0.019335666
52.9296875,836.1474721,40.62883644,39.34882522,18.35462518,53.29920888,7.000719366,0.373799845,0.009524167
53.06640625,846.6754179,49.18492157,41.93328546,13.38257704,36.11467609,6.999078776,0.373703754,0.032839938
54.84375,768.3535975,49.26887716,38.37892948,19.20543216,52.3966662,7.009552263,0.373395086,0.012493446
51.86003685,819.2748261,40.31958184,40.86353031,17.76574223,57.29243413,6.96585746,0.37286735,0.016642271
51.5625,802.5356986,41.16276137,42.25593097,12.4852792,82.9055428,6.998230928,0.372500197,0.024415283
51.8359375,803.4311132,42.60255276,42.75000406,12.09560902,31.75044386,6.994957331,0.372486219,0.030399246
54.68787193,791.9019905,53.62570583,39.4538991,8.733219308,17.11882238,6.972506779,0.372012944,0.021804545
58.30597878,824.3181266,54.30166272,42.37600764,16.45446839,72.25033285,7.451670797,0.371665779,0.044822836
50.7421875,839.1453463,45.01630394,43.25478896,12.08730156,94.7870022,6.99072112,0.371538422,0.026365116
52.9296875,818.6612385,41.39057381,40.28278472,14.97526523,75.10433435,7.00228867,0.371486761,0.015577103
52.9296875,841.3452773,41.54965541,38.27979979,1.536290653,79.54630184,7.002610721,0.371458295,0.003091525
53.4765625,806.536302,50.19345272,38.46448804,0.110082266,68.44683249,7.00985763,0.371184357,0.001863042
51.2890625,822.3896818,49.04166925,43.50808422,11.89436088,98.38471932,7.007495079,0.370561344,0.030241959
54.84375,809.3720101,47.11683943,38.02397666,18.00510473,67.23114487,6.990140215,0.370155643,0.006893779
53.06640625,843.3568163,41.35728772,40.0219218,19.97307734,111.5536531,6.997596431,0.370117018,0.013049896
54.0234375,827.5687377,44.47560425,39.6783666,10.16109782,59.93806396,7.002742676,0.36987124,0.015832524
53.203125,783.6526941,41.38519219,41.69215009,15.1631787,49.91940594,7.005381271,0.369353866,0.027091657
52.109375,835.6684615,46.37433971,44.32751925,16.31034788,36.43340785,6.996710664,0.368522631,0.040258673
52.65625,825.9038044,43.41251896,41.67026332,17.63383895,66.02620396,7.005144662,0.368518964,0.022532151
53.75,783.0952894,41.06221247,38.49137765,0.016763437,93.94918861,7.006450056,0.367925104,0.000917821
55.9375,838.4959876,50.57715579,38.27528753,8.364150669,37.19401815,7.003028832,0.367848899,0.013376042
51.2890625,840.9967496,42.27361709,42.99171932,7.641121743,31.06849992,6.995099903,0.367661911,0.023864219
55.1171875,794.1464745,48.6216066,38.8650798,9.433341366,60.1312707,6.998125262,0.367457049,0.013415925
54.0234375,772.3670494,49.86982401,41.10665712,13.6350255,90.26663306,6.99920517,0.367435025,0.025870354
52.9296875,797.8199279,53.22918072,40.92467628,4.398022422,19.02091795,7.000832615,0.367388609,0.017134133
53.203125,818.1638541,47.3453372,42.81895202,17.5517411,38.4281259,7.003921171,0.367343848,0.034157909
54.0234375,780.9245846,46.06467902,41.15660168,11.00273896,41.64149139,6.994156501,0.366755972,0.025851886
55.390625,759.4500716,41.76303439,38.30876557,16.73060099,58.50019413,7.003956056,0.366257057,0.008549952
54.84375,807.4766842,51.73119718,39.84117783,18.60521431,89.52980736,6.994971487,0.365675444,0.018742743
53.203125,781.8441745,44.73172077,42.12418637,13.37888459,107.3993941,6.993598346,0.365625209,0.027443126
55.1171875,802.0422741,43.1043596,38.65843001,14.09431256,81.69014909,6.997062039,0.365605222,0.009725648
54.296875,840.4833051,45.12730237,40.84270944,12.31111569,89.69025577,7.003526317,0.365534974,0.023283005
51.2890625,831.2945226,46.53185087,44.18344205,13.24496533,118.3371335,6.991890009,0.365503199,0.03113201
53.75,790.3137322,45.67501197,41.68962363,19.41151272,53.17305653,6.993560934,0.365482804,0.027254078
53.203125,792.9492036,40.76956173,40.27076786,6.343009575,29.74914597,6.995801135,0.365311628,0.011453659
51.015625,791.7007372,48.32765509,41.72630231,0.570020728,32.75966488,7.000174862,0.365014112,0.00863325
54.296875,837.3670123,44.1035341,40.85227446,12.48462217,113.6547938,7.005241732,0.36457577,0.022320114
55.390625,793.5102937,51.97504409,42.38369937,19.73594397,18.43649224,7.002124359,0.364197109,0.040965912
53.4765625,842.720783,50.06203936,42.32970951,10.4983552,64.84882506,6.997720803,0.36415273,0.029136065
54.296875,812.7596756,46.54480248,40.98059211,13.47395206,107.0624579,7.001181462,0.363998435,0.023012201
54.296875,783.9346113,45.3528208,40.5062068,19.0030297,111.1012341,7.006610829,0.363992757,0.018745533
54.5703125,823.0299697,45.01932239,40.53660275,11.14362695,98.14320558,6.999440262,0.363901885,0.020993477
55.6640625,820.6426883,52.04133515,40.78599703,17.44652554,47.18072458,6.998297158,0.363248166,0.029187761
51.015625,801.2477534,45.30957677,44.95657871,7.488291493,16.53332511,6.994957331,0.363202209,0.032675026
51.5625,814.3011426,41.72223108,44.71566708,10.85923197,62.34079272,6.993332414,0.363067722,0.034360627
51.015625,800.9121628,45.54101875,42.61359318,1.969613376,22.19087333,6.999757258,0.363052649,0.014113076
51.2890625,820.9924486,41.48904178,43.57281433,6.960204832,39.04324801,7.005368126,0.362973184,0.023262526
55.390625,804.6657276,45.30041509,39.47329594,12.0228367,95.54532152,7.003216906,0.362914623,0.015797105
51.5625,809.5497363,42.59983412,44.81398796,13.43110499,109.2295931,7.002493428,0.362757552,0.034341971
53.4765625,790.7835107,45.32131411,42.69505059,10.51766113,52.72939251,7.004677511,0.362735757,0.030255612
57.03125,779.7857259,53.51561317,38.15977959,10.99119278,73.88676543,6.997675301,0.362617489,0.014156949
55.390625,805.2095311,44.96435747,39.1128383,16.08227591,102.7806288,6.996796106,0.362300954,0.012305665
55.9375,846.3885039,42.47255364,38.60140958,7.218114317,25.39126695,6.997991285,0.36225823,0.011032948
52.3828125,798.8650168,50.24762743,44.7861267,13.00795459,118.9628234,7.003099612,0.362258001,0.038756281
54.18759346,829.7717575,52.28959894,44.23000754,16.00366948,61.87143245,7.070099893,0.362206366,0.042517696
54.296875,777.7166979,43.08453682,41.84082111,10.40399829,51.4661235,7.003114274,0.362172731,0.028104827
53.4765625,781.8866581,41.68622843,41.55246857,7.411046095,36.34989681,6.993538688,0.362140548,0.021061339
53.203125,811.0736838,51.03438401,42.37617489,4.369845579,11.83478829,7.007897011,0.361979913,0.025121491
55.1171875,786.0479746,41.05076271,39.21495589,16.56000752,114.0839076,7.001873088,0.36196158,0.010891298
55.93155861,780.7837171,49.63965379,42.93129392,16.05726844,104.9767128,7.166620177,0.361641455,0.038195226
55.390625,817.4615292,53.23318492,40.53983936,15.6711679,107.9221047,7.00531403,0.361417956,0.023331402
54.84375,834.1660756,45.46300613,40.65474644,8.278798234,77.80402094,6.990292393,0.361253221,0.021490642
54.296875,826.8990595,48.19433399,40.73964846,6.13173417,57.35516072,7.008759521,0.361006959,0.017632784
55.390625,779.4530745,50.54016658,42.48451263,18.49108817,26.29308633,6.994367831,0.360973707,0.038866707
56.484375,831.4291867,41.9965049,38.41586237,9.398398061,70.3682619,7.007112359,0.360916317,0.010956038
54.0234375,766.482763,40.82557262,41.25481258,19.13910484,70.4195067,6.992732802,0.360901804,0.020878496
55.9375,834.9497845,46.43569483,39.43343512,14.84451401,116.504618,7.000417033,0.360691545,0.016757772
57.03125,803.7954319,52.28059035,38.28916116,19.63934554,82.69220269,7.004272546,0.360665701,0.0130552
52.3828125,782.7421367,40.57795326,44.78556438,12.84323718,97.23169906,7.002090485,0.360597567,0.037138424
50.46875,789.7091847,46.14826183,43.47413597,1.110242838,28.79739568,6.995004855,0.360493303,0.014989269
54.84375,805.3941686,48.81925618,41.30377694,11.90713683,109.4879968,6.992398617,0.360457377,0.025932914
55.390625,777.8844366,48.20277205,40.34372491,18.63989261,94.97962866,6.990544675,0.360324749,0.021310961
56.484375,817.0562568,47.14721065,38.9264609,13.07227685,92.70309091,7.002577859,0.360261707,0.015115353
53.4765625,778.5283266,49.42927698,43.98112858,13.16487316,43.40685419,6.996625728,0.360156781,0.03776987
57.03125,848.3824538,54.76064155,38.90102866,19.09148095,87.92578556,6.991834396,0.359683276,0.018147847
55.6640625,825.8795246,53.22633506,40.53523236,17.17696746,108.2276836,7.000457479,0.359357372,0.023126609
56.484375,760.1987953,42.13395891,38.81487093,14.8161009,82.40419608,6.991187766,0.359344284,0.013768692
56.484375,832.8127228,43.02238516,38.38693373,19.50759902,85.23997031,6.990788362,0.359293464,0.009885343
57.03125,815.2036447,53.50732231,38.54917375,17.02698999,95.45594747,7.00375332,0.359213031,0.013972746
